Country,Country Code,Year,Population_WB,PM25
Afghanistan,AFG,2021,39835428.0,37.5
Angola,AGO,2021,33933611.0,11.0
Albania,ALB,2021,2811666.0,12.5
Andorra,AND,2021,77354.0,7.3
United Arab Emirates,ARE,2021,9991083.0,36.0
Argentina,ARG,2021,45808747.0,8.2
Armenia,ARM,2021,2968128.0,33.9
Australia,AUS,2021,25739256.0,5.7
Austria,AUT,2021,8956279.0,11.4
Azerbaijan,AZE,2021,10145212.0,17.6
Belgium,BEL,2021,11587882.0,11.5
Bangladesh,BGD,2021,166303494.0,76.9
Bulgaria,BGR,2021,6899125.0,16.3
Bahrain,BHR,2021,1748295.0,49.8
Bahamas, The,2021,393248.0,5.5
Brazil,BRA,2021,213993441.0,13.6
Canada,CAN,2021,38246108.0,8.5
Switzerland,CHE,2021,8697723.0,10.8
Chile,CHL,2021,19212362.0,21.7
China,CHN,2021,1412360000.0,32.6
Colombia,COL,2021,51265841.0,14.1
Costa Rica,CRI,2021,5139053.0,7.8
Cyprus,CYP,2021,1215588.0,14.8
Czech Republic,CZE,2021,10703446.0,13.9
Germany,DEU,2021,83129285.0,10.6
Denmark,DNK,2021,5856733.0,9.6
Algeria,DZA,2021,44616626.0,20.0
Ecuador,ECU,2021,17888474.0,8.4
Egypt, Arab Rep.,2021,102334403.0,29.1
Spain,ESP,2021,47326687.0,10.7
Estonia,EST,2021,1329254.0,5.9
Ethiopia,ETH,2021,117876226.0,23.9
Finland,FIN,2021,5541696.0,5.5
France,FRA,2021,67499343.0,11.4
United Kingdom,GBR,2021,67326569.0,8.8
Georgia,GEO,2021,3708610.0,21.0
Ghana,GHA,2021,31732128.0,25.9
Greece,GRC,2021,10664568.0,19.0
Grenada,GRD,2021,113015.0,5.5
Guatemala,GTM,2021,17109746.0,19.5
Hong Kong SAR, China,2021,7481000.0,15.9
Honduras,HND,2021,10062994.0,11.8
Croatia,HRV,2021,3899000.0,25.4
Hungary,HUN,2021,9709886.0,15.5
Indonesia,IDN,2021,276361788.0,34.3
India,IND,2021,1393409033.0,58.1
Ireland,IRL,2021,5028230.0,8.0
Iran, Islamic Rep.,2021,83992953.0,30.3
Iraq,IRQ,2021,41179351.0,49.7
Iceland,ISL,2021,372295.0,6.1
Israel,ISR,2021,9364000.0,18.7
Italy,ITA,2021,59066225.0,15.2
Jordan,JOR,2021,10269022.0,16.5
Japan,JPN,2021,125681593.0,9.1
Kazakhstan,KAZ,2021,19002586.0,31.1
Kenya,KEN,2021,54985702.0,14.3
Cambodia,KHM,2021,16946446.0,19.8
Kuwait,KWT,2021,4328553.0,29.7
Lebanon,LBN,2021,6769151.0,25.7
Liechtenstein,LIE,2021,38254.0,7.2
Sri Lanka,LKA,2021,22156000.0,17.4
Lithuania,LTU,2021,2795321.0,13.2
Luxembourg,LUX,2021,639070.0,9.0
Macao SAR, China,2021,649342.0,17.0
Madagascar,MDG,2021,28427333.0,21.0
Mexico,MEX,2021,130262220.0,19.3
North Macedonia,MKD,2021,2065092.0,25.4
Malta,MLT,2021,516869.0,13.5
Myanmar,MMR,2021,54806014.0,25.9
Montenegro,MNE,2021,620173.0,35.2
Mongolia,MNG,2021,3329282.0,33.1
Malaysia,MYS,2021,32776195.0,19.4
New Caledonia,NCL,2021,272620.0,3.8
Nigeria,NGA,2021,211400704.0,34.0
Netherlands,NLD,2021,17533405.0,11.3
Norway,NOR,2021,5408320.0,7.5
Nepal,NPL,2021,29674920.0,46.0
New Zealand,NZL,2021,5122600.0,6.8
Oman,OMN,2021,5223376.0,53.9
Pakistan,PAK,2021,225199929.0,66.8
Peru,PER,2021,33359416.0,29.6
Philippines,PHL,2021,111046910.0,15.6
Poland,POL,2021,37781024.0,19.1
Puerto Rico,PRI,2021,3263584.0,4.8
Portugal,PRT,2021,10299423.0,7.1
Qatar,QAT,2021,2930524.0,38.2
Romania,ROU,2021,19115146.0,15.3
Saudi Arabia,SAU,2021,35340680.0,32.7
Sudan,SDN,2021,44909351.0,44.1
Singapore,SGP,2021,5453566.0,13.8
Serbia,SRB,2021,6844078.0,25.5
Slovenia,SVN,2021,2107007.0,13.3
Sweden,SWE,2021,10415811.0,6.6
Chad,TCD,2021,16914985.0,75.9
Thailand,THA,2021,69950844.0,20.2
Tajikistan,TJK,2021,9749625.0,59.4
Turkmenistan,TKM,2021,6117933.0,20.4
Trinidad and Tobago,TTO,2021,1403374.0,7.1
Uganda,UGA,2021,47123533.0,27.6
Ukraine,UKR,2021,43814581.0,18.5
Uruguay,URY,2021,3485152.0,14.2
Uzbekistan,UZB,2021,34915100.0,42.8
Vietnam,VNM,2021,98168829.0,24.7
Kosovo,XKX,2021,1806279.0,14.7
South Africa,ZAF,2021,60041996.0,22.7
